,Model,Accuracy
0,Logistic Regression,0.7320261437908496
1,SVM,0.6862745098039216
2,KNN,0.5228758169934641
3,Decision Tree,0.6209150326797386
4,Random Forest,0.6535947712418301
5,Naive Bayes,0.6078431372549019
